Book|Leviathan|Book|Philosophy|1651|Thomas Hobbes
Book|C++|Book|Reference|2014|Paul Deitel
Book|The Dictionary|Book|Reference|1941|Webster
Book|Fabric of the Cosmos|Book|Physics|2004|Brian Greene
Book|Geneology of Morals|Book|Philosophy|1887|Fredrich Neitzche
Book|Beyond Good and Evil|Book|Philosophy|1886|Fredrich Neitzche
Book|The Use and Abuse of History|Book|Philosophy|1874|Fredrich Neitzsche
Book|Thus Spoke Zarathustra|Book|Philosophy|1891|Fredrich Neitzsche
Book|Building Construction for the Fire Service|Book|Educational|1971|Francis Brannigan
Book|Second Discourse|Book|Philosophy|1755|Jean-Jacques Rousseau
Music|Back in Black|Music|Rock|1980|AC/DC
Music|Ramble On|Music|Rock|1969|Led Zeppelin
Music|Just a Memory|Music|Brooklyn Rap|2005|Notrious Big
Music|Brooklyn We Go Hard|Music|Brooklyn Rap|2009|Jay Z
Music|What You Know|Music|Atlanta Rap|2006|TI
Music|White and Nerdy|Music|Hip Hop|2006|Weird Al
Music|Cowboys from Hell|Music|Rock|1990|Pantera
Music|Lucky Man|Music|Rock|1997|The Verve
Music|Top of the World|Music|Rock|1991|Van Halen
Music|Ain't Nothin but a G Thang|Music|West Coast Rap|1992|Dr Dre
Movie|Apollo 13|Movie|Drama|1995|Brian Grazer
Movie|Saving Private Ryan|Movie|War|1998|Steven Spielberg
Movie|8 Mile|Movie|Drama|2002|Marshall Mathers
Movie|Who Framed Roger Rabbit|Movie|Comedy|1988|Robert Zemeckis
Movie|Step Brothers|Movie|Comedy|2008|Adam McKay
Movie|Jobs|Movie|Drama|2013|Joshua Michael Stern
Movie|The Blind Side|Movie|Drama|2009|John Lee Hancock
Movie|Backdraft|Movie|Thriller|1991|Ron Howard
Movie|Ladder 49|Movie|Thriller|2004|Jay Russel
Movie|We Were Soldiers|Movie|War|2002|Randall Wallace
